event_id,event_date,event_name,city,event_type,organizer,venue,capacity,attendance,ticket_price,revenue,costs,profit
30,2025-05-02,Event 030,Alexandria,Exhibition,Vision Hub,Expo Arena,318,245,35,11772,5990,5782
31,2025-07-19,Event 031,Giza,Exhibition,Prime Events,Expo Arena,813,739,162,131062,81816,49246
32,2025-03-21,Event 032,Alexandria,Wedding,Skyline Group,Grand Hall,693,687,158,110044,69802,40242
33,2025-01-30,Event 033,Cairo,Festival,Vision Hub,Royal Garden,643,369,34,21366,8701,12665
34,2025-04-06,Event 034,Cairo,Festival,Nile Events,Downtown Hub,340,256,50,22633,10495,12138
35,2025-11-01,Event 035,Cairo,Festival,Nile Events,Expo Arena,773,645,164,114845,55994,58851
36,2025-05-14,Event 036,Alexandria,Corporate,Creative Minds,Sky Center,344,221,121,29385,17877,11508
37,2025-06-03,Event 037,Luxor,Wedding,Nile Events,Grand Hall,569,544,45,26180,14733,11447
38,2025-09-17,Event 038,Giza,Workshop,Prime Events,Grand Hall,350,251,92,26176,13846,12330
39,2025-10-06,Event 039,Mansoura,Wedding,Elite Planners,Downtown Hub,641,292,161,52417,36524,15893
40,2025-02-23,Event 040,Alexandria,Wedding,Nile Events,Grand Hall,860,670,59,44492,21169,23323
41,2025-04-18,Event 041,Mansoura,Wedding,Skyline Group,Downtown Hub,749,472,149,78832,36686,42146
42,2025-01-27,Event 042,Cairo,Corporate,Vision Hub,Sky Center,145,65,105,9468,5648,3820
43,2025-05-15,Event 043,Alexandria,Corporate,Vision Hub,Royal Garden,822,587,163,96339,40273,56066
44,2025-12-20,Event 044,Alexandria,Festival,Nile Events,Sky Center,696,595,57,41456,17549,23907
45,2025-06-07,Event 045,Giza,Conference,Prime Events,Nile Ballroom,798,486,46,28650,18486,10164
46,2025-07-28,Event 046,Aswan,Corporate,Skyline Group,Nile Ballroom,266,164,125,21406,9439,11967
47,2025-06-20,Event 047,Luxor,Corporate,Creative Minds,Nile Ballroom,373,207,47,16496,11160,5336
48,2025-08-29,Event 048,Alexandria,Workshop,Vision Hub,Sky Center,412,395,78,34962,13566,21396
49,2025-04-09,Event 049,Luxor,Wedding,Prime Events,Grand Hall,891,542,109,70088,38772,31316
50,2025-12-14,Event 050,Aswan,Wedding,Nile Events,Grand Hall,367,210,168,40129,15770,24359
51,2025-11-02,Event 051,Luxor,Wedding,Creative Minds,Sky Center,546,506,49,31605,21675,9930
52,2025-04-08,Event 052,Giza,Conference,Creative Minds,Expo Arena,101,78,157,23999,14989,9010
53,2025-12-10,Event 053,Alexandria,Wedding,Vision Hub,Grand Hall,780,520,179,98723,59781,38942
54,2025-03-05,Event 054,Mansoura,Wedding,Elite Planners,Sky Center,782,560,103,64772,39967,24805
55,2025-10-11,Event 055,Alexandria,Workshop,Vision Hub,Downtown Hub,488,308,177,64340,31032,33308
56,2025-10-08,Event 056,Cairo,Wedding,Prime Events,Nile Ballroom,540,539,175,105551,51674,53877
57,2025-08-15,Event 057,Luxor,Corporate,Skyline Group,Royal Garden,584,348,41,19417,10781,8636
58,2025-11-21,Event 058,Aswan,Wedding,Nile Events,Nile Ballroom,788,512,77,43186,18574,24612
59,2025-01-24,Event 059,Alexandria,Exhibition,Elite Planners,Grand Hall,566,466,167,81507,50879,30628
60,2025-07-16,Event 060,Luxor,Exhibition,Skyline Group,Nile Ballroom,771,698,21,16904,10897,6007
61,2025-04-23,Event 061,Alexandria,Corporate,Elite Planners,Expo Arena,151,138,83,13942,7461,6481
62,2025-08-26,Event 062,Mansoura,Festival,Elite Planners,Royal Garden,424,383,133,61476,40396,21080
63,2025-09-16,Event 063,Luxor,Festival,Vision Hub,Nile Ballroom,861,828,141,124621,58338,66283
64,2025-05-07,Event 064,Mansoura,Wedding,Elite Planners,Expo Arena,741,455,90,48656,19771,28885
65,2025-05-27,Event 065,Alexandria,Wedding,Prime Events,Sky Center,653,334,55,21341,9787,11554
66,2025-12-22,Event 066,Alexandria,Corporate,Skyline Group,Grand Hall,524,443,104,55462,29861,25601
67,2025-02-01,Event 067,Alexandria,Exhibition,Vision Hub,Royal Garden,812,375,167,69357,37603,31754
68,2025-06-30,Event 068,Giza,Exhibition,Vision Hub,Royal Garden,865,765,159,132018,90466,41552
69,2025-09-07,Event 069,Alexandria,Wedding,Vision Hub,Expo Arena,129,107,106,22800,13928,8872
70,2025-07-27,Event 070,Mansoura,Workshop,Vision Hub,Nile Ballroom,737,604,26,22659,13170,9489
71,2025-12-06,Event 071,Cairo,Conference,Creative Minds,Expo Arena,238,225,66,16173,7576,8597
72,2025-06-17,Event 072,Alexandria,Exhibition,Prime Events,Sky Center,879,845,117,103923,66062,37861
73,2025-08-04,Event 073,Giza,Conference,Vision Hub,Grand Hall,867,666,33,28211,12870,15341
74,2025-02-05,Event 074,Mansoura,Conference,Nile Events,Nile Ballroom,304,141,179,28235,13019,15216
75,2025-08-31,Event 075,Mansoura,Conference,Elite Planners,Nile Ballroom,576,390,114,47709,27957,19752
76,2025-02-28,Event 076,Alexandria,Wedding,Nile Events,Royal Garden,126,95,167,27462,18913,8549
77,2025-07-12,Event 077,Luxor,Corporate,Skyline Group,Grand Hall,706,670,180,125078,51863,73215
78,2025-06-04,Event 078,Mansoura,Festival,Nile Events,Royal Garden,142,107,156,24210,14645,9565
79,2025-02-05,Event 079,Aswan,Corporate,Prime Events,Grand Hall,530,488,47,30538,21580,8958
80,2025-11-22,Event 080,Luxor,Corporate,Skyline Group,Expo Arena,280,259,89,33642,22028,11614
81,2025-10-03,Event 081,Luxor,Exhibition,Vision Hub,Downtown Hub,706,454,102,50830,33672,17158
82,2025-02-14,Event 082,Giza,Exhibition,Skyline Group,Expo Arena,683,619,117,78434,30570,47864
83,2025-06-16,Event 083,Alexandria,Exhibition,Skyline Group,Sky Center,364,250,91,33017,20417,12600
84,2025-05-22,Event 084,Aswan,Conference,Elite Planners,Nile Ballroom,187,114,124,22640,12876,9764
85,2025-05-04,Event 085,Mansoura,Exhibition,Creative Minds,Downtown Hub,602,499,24,14000,6720,7280
86,2025-07-27,Event 086,Mansoura,Workshop,Prime Events,Downtown Hub,695,500,141,80068,44879,35189
87,2025-08-06,Event 087,Mansoura,Festival,Prime Events,Sky Center,819,600,89,58923,27427,31496
88,2025-03-03,Event 088,Mansoura,Workshop,Prime Events,Grand Hall,860,661,67,47925,21737,26188
89,2025-09-05,Event 089,Giza,Corporate,Elite Planners,Royal Garden,711,463,45,24515,11784,12731
90,2025-07-04,Event 090,Alexandria,Wedding,Nile Events,Downtown Hub,646,354,90,33105,23546,9559
91,2025-10-11,Event 091,Giza,Corporate,Skyline Group,Downtown Hub,870,642,46,30232,17388,12844
92,2025-08-29,Event 092,Luxor,Exhibition,Prime Events,Nile Ballroom,152,100,142,16569,10927,5642
93,2025-07-25,Event 093,Luxor,Conference,Elite Planners,Downtown Hub,802,387,58,25390,16650,8740
94,2025-06-05,Event 094,Cairo,Workshop,Nile Events,Royal Garden,882,609,175,116841,75812,41029
95,2025-04-26,Event 095,Aswan,Exhibition,Vision Hub,Expo Arena,404,401,170,75695,36623,39072
96,2025-11-14,Event 096,Cairo,Festival,Creative Minds,Grand Hall,881,502,180,94317,44327,49990
97,2025-02-11,Event 097,Alexandria,Workshop,Skyline Group,Royal Garden,176,99,20,9173,4890,4283
98,2025-11-01,Event 098,Luxor,Wedding,Nile Events,Nile Ballroom,395,357,92,40782,16484,24298
99,2025-04-30,Event 099,Giza,Corporate,Elite Planners,Downtown Hub,302,243,49,21329,9735,11594
100,2025-03-18,Event 100,Giza,Workshop,Nile Events,Grand Hall,269,199,172,44053,30537,13516
101,2025-08-13,Event 101,Cairo,Exhibition,Creative Minds,Sky Center,816,573,89,59696,33644,26052
102,2025-08-13,Event 102,Cairo,Festival,Nile Events,Expo Arena,852,548,174,99954,38861,61093
103,2025-04-28,Event 103,Mansoura,Festival,Elite Planners,Grand Hall,883,741,88,75149,29584,45565
104,2025-03-31,Event 104,Luxor,Festival,Creative Minds,Expo Arena,384,218,169,44483,26504,17979
105,2025-09-09,Event 105,Cairo,Exhibition,Prime Events,Expo Arena,441,280,46,16014,7881,8133
106,2025-12-22,Event 106,Luxor,Wedding,Creative Minds,Expo Arena,878,676,29,27555,11295,16260
107,2025-05-10,Event 107,Giza,Conference,Vision Hub,Royal Garden,101,87,158,21815,11354,10461
108,2025-04-07,Event 108,Aswan,Wedding,Elite Planners,Expo Arena,740,559,33,22282,10490,11792
109,2025-03-09,Event 109,Giza,Exhibition,Creative Minds,Expo Arena,224,103,175,22445,13945,8500
110,2025-06-09,Event 110,Aswan,Conference,Elite Planners,Expo Arena,195,115,49,13695,9613,4082
111,2025-11-28,Event 111,Alexandria,Exhibition,Creative Minds,Sky Center,621,418,126,61073,43562,17511
112,2025-05-05,Event 112,Luxor,Festival,Skyline Group,Expo Arena,295,285,150,45486,30647,14839
113,2025-05-22,Event 113,Luxor,Wedding,Elite Planners,Sky Center,102,63,96,16164,9329,6835
114,2025-12-04,Event 114,Luxor,Workshop,Vision Hub,Royal Garden,595,443,105,56057,35841,20216
115,2025-07-13,Event 115,Luxor,Wedding,Skyline Group,Downtown Hub,344,300,118,39726,26657,13069
116,2025-07-30,Event 116,Cairo,Wedding,Creative Minds,Expo Arena,822,784,117,98553,70569,27984
117,2025-11-30,Event 117,Alexandria,Exhibition,Nile Events,Nile Ballroom,614,578,104,62256,42161,20095
118,2025-08-14,Event 118,Cairo,Festival,Vision Hub,Grand Hall,839,450,124,67027,47574,19453
119,2025-02-08,Event 119,Luxor,Wedding,Prime Events,Royal Garden,809,567,40,28563,19131,9432
120,2025-10-01,Event 120,Luxor,Wedding,Creative Minds,Downtown Hub,877,643,158,102682,60575,42107
121,2025-05-01,Event 121,Mansoura,Corporate,Prime Events,Nile Ballroom,864,434,131,58966,37651,21315
122,2025-12-27,Event 122,Cairo,Exhibition,Skyline Group,Downtown Hub,406,189,31,11673,7595,4078
123,2025-05-31,Event 123,Giza,Wedding,Vision Hub,Nile Ballroom,350,292,125,46272,28309,17963
124,2025-04-03,Event 124,Alexandria,Workshop,Nile Events,Royal Garden,491,343,147,60475,25923,34552
125,2025-08-25,Event 125,Mansoura,Wedding,Vision Hub,Sky Center,782,355,139,54557,33300,21257
126,2025-03-22,Event 126,Cairo,Exhibition,Prime Events,Royal Garden,406,345,128,55970,26027,29943
127,2025-06-04,Event 127,Alexandria,Exhibition,Vision Hub,Grand Hall,342,250,166,47881,27552,20329
128,2025-12-25,Event 128,Giza,Conference,Creative Minds,Expo Arena,381,173,164,40108,25854,14254
129,2025-01-26,Event 129,Aswan,Corporate,Vision Hub,Sky Center,894,811,78,73704,48103,25601
130,2025-04-23,Event 130,Mansoura,Workshop,Elite Planners,Sky Center,794,743,55,51658,21336,30322
131,2025-11-18,Event 131,Mansoura,Conference,Prime Events,Expo Arena,134,134,113,17795,7307,10488
132,2025-06-01,Event 132,Giza,Corporate,Vision Hub,Nile Ballroom,305,170,158,33354,18694,14660
133,2025-05-20,Event 133,Alexandria,Wedding,Vision Hub,Sky Center,864,833,106,90684,48899,41785
134,2025-02-08,Event 134,Alexandria,Workshop,Creative Minds,Downtown Hub,790,558,162,96888,39792,57096
135,2025-07-22,Event 135,Cairo,Wedding,Elite Planners,Grand Hall,565,442,87,48531,24728,23803
136,2025-11-23,Event 136,Giza,Conference,Creative Minds,Nile Ballroom,582,273,178,58292,28651,29641
137,2025-11-09,Event 137,Alexandria,Corporate,Nile Events,Downtown Hub,575,412,124,53499,22872,30627
138,2025-01-20,Event 138,Giza,Exhibition,Nile Events,Grand Hall,340,290,54,22527,12034,10493
139,2025-12-10,Event 139,Mansoura,Corporate,Elite Planners,Expo Arena,701,695,59,48302,29110,19192
140,2025-09-08,Event 140,Aswan,Exhibition,Prime Events,Grand Hall,806,551,75,49089,26075,23014
141,2025-05-01,Event 141,Giza,Conference,Creative Minds,Sky Center,657,625,111,70867,36522,34345
142,2025-04-08,Event 142,Cairo,Exhibition,Nile Events,Downtown Hub,317,306,172,53481,21242,32239
143,2025-06-20,Event 143,Alexandria,Workshop,Elite Planners,Nile Ballroom,170,146,73,20765,9415,11350
144,2025-04-30,Event 144,Giza,Workshop,Elite Planners,Grand Hall,383,209,53,20427,9503,10924
145,2025-03-31,Event 145,Cairo,Corporate,Nile Events,Nile Ballroom,115,96,80,17827,8736,9091
146,2025-03-31,Event 146,Giza,Conference,Skyline Group,Downtown Hub,531,507,49,26384,14298,12086
147,2025-07-05,Event 147,Aswan,Festival,Nile Events,Expo Arena,615,389,177,70063,43947,26116
148,2025-12-04,Event 148,Aswan,Wedding,Vision Hub,Downtown Hub,131,65,142,16310,8561,7749
149,2025-02-25,Event 149,Luxor,Corporate,Vision Hub,Grand Hall,182,122,175,24280,9768,14512
150,2025-05-21,Event 150,Aswan,Corporate,Elite Planners,Royal Garden,829,539,117,73350,41104,32246
151,2025-08-21,Event 151,Aswan,Festival,Vision Hub,Grand Hall,818,426,161,72608,38208,34400
152,2025-04-27,Event 152,Luxor,Wedding,Vision Hub,Expo Arena,525,284,100,35892,17452,18440
153,2025-05-11,Event 153,Giza,Workshop,Creative Minds,Expo Arena,168,86,41,5553,2925,2628
154,2025-07-10,Event 154,Alexandria,Festival,Nile Events,Royal Garden,675,590,104,72837,30705,42132
155,2025-07-01,Event 155,Mansoura,Exhibition,Creative Minds,Grand Hall,394,330,99,38931,16165,22766
156,2025-09-17,Event 156,Alexandria,Workshop,Creative Minds,Expo Arena,329,175,109,28688,14486,14202
157,2025-05-23,Event 157,Aswan,Workshop,Vision Hub,Royal Garden,885,817,179,156795,95565,61230
158,2025-10-13,Event 158,Cairo,Festival,Creative Minds,Downtown Hub,373,174,66,16461,10188,6273
159,2025-06-08,Event 159,Giza,Wedding,Nile Events,Nile Ballroom,246,212,37,10668,6741,3927
160,2025-01-16,Event 160,Cairo,Corporate,Elite Planners,Nile Ballroom,485,432,136,64837,28108,36729
161,2025-06-09,Event 161,Mansoura,Wedding,Elite Planners,Royal Garden,186,89,59,8330,5302,3028
162,2025-01-26,Event 162,Mansoura,Conference,Prime Events,Expo Arena,777,566,144,91950,48760,43190
163,2025-05-20,Event 163,Alexandria,Festival,Nile Events,Sky Center,540,299,92,39119,23889,15230
164,2025-09-07,Event 164,Aswan,Corporate,Prime Events,Grand Hall,325,247,173,44128,16883,27245
165,2025-06-04,Event 165,Alexandria,Workshop,Prime Events,Sky Center,435,225,21,13374,8478,4896
166,2025-03-31,Event 166,Alexandria,Exhibition,Elite Planners,Downtown Hub,335,278,163,56759,37126,19633
167,2025-02-06,Event 167,Luxor,Corporate,Nile Events,Expo Arena,119,111,39,9958,5733,4225
168,2025-10-21,Event 168,Luxor,Corporate,Creative Minds,Expo Arena,396,207,123,26302,18635,7667
169,2025-03-29,Event 169,Aswan,Exhibition,Creative Minds,Sky Center,190,140,47,11066,5844,5222
170,2025-07-25,Event 170,Aswan,Conference,Vision Hub,Sky Center,863,561,76,48592,31336,17256
171,2025-02-09,Event 171,Aswan,Corporate,Nile Events,Royal Garden,622,378,109,47454,29768,17686
172,2025-11-27,Event 172,Alexandria,Workshop,Nile Events,Nile Ballroom,362,212,64,23937,10340,13597
173,2025-12-02,Event 173,Cairo,Workshop,Creative Minds,Expo Arena,575,546,168,99582,60902,38680
174,2025-10-17,Event 174,Mansoura,Corporate,Elite Planners,Sky Center,742,494,58,36357,14659,21698
175,2025-08-15,Event 175,Mansoura,Wedding,Prime Events,Royal Garden,157,115,149,18850,9152,9698
176,2025-08-20,Event 176,Cairo,Conference,Prime Events,Sky Center,178,162,43,17542,10209,7333
177,2025-07-16,Event 177,Luxor,Festival,Elite Planners,Downtown Hub,142,120,166,31099,13808,17291
178,2025-11-06,Event 178,Luxor,Festival,Skyline Group,Grand Hall,561,304,107,34409,18978,15431
179,2025-03-30,Event 179,Cairo,Workshop,Creative Minds,Expo Arena,549,515,153,89286,38747,50539
180,2025-07-10,Event 180,Giza,Exhibition,Vision Hub,Sky Center,795,663,33,32715,19631,13084
181,2025-02-03,Event 181,Giza,Conference,Elite Planners,Downtown Hub,495,367,84,42085,29791,12294
182,2025-11-05,Event 182,Alexandria,Wedding,Nile Events,Royal Garden,779,422,109,51580,36571,15009
183,2025-12-24,Event 183,Mansoura,Exhibition,Skyline Group,Royal Garden,825,414,99,50643,25730,24913
184,2025-06-18,Event 184,Alexandria,Corporate,Creative Minds,Downtown Hub,801,629,43,38131,23181,14950
185,2025-09-18,Event 185,Giza,Conference,Prime Events,Sky Center,284,181,107,27834,12393,15441
186,2025-03-12,Event 186,Alexandria,Conference,Prime Events,Grand Hall,619,554,154,86434,52297,34137
187,2025-11-13,Event 187,Alexandria,Festival,Vision Hub,Nile Ballroom,266,165,179,32747,20473,12274
188,2025-01-23,Event 188,Luxor,Wedding,Creative Minds,Downtown Hub,343,267,176,52160,33164,18996
189,2025-08-18,Event 189,Alexandria,Festival,Skyline Group,Sky Center,580,360,114,52653,36963,15690
190,2025-08-14,Event 190,Luxor,Wedding,Vision Hub,Royal Garden,640,502,61,34393,22438,11955
191,2025-03-12,Event 191,Giza,Conference,Creative Minds,Expo Arena,480,268,152,43278,20640,22638
192,2025-03-24,Event 192,Giza,Exhibition,Elite Planners,Nile Ballroom,547,292,76,30083,20479,9604
193,2025-01-14,Event 193,Luxor,Conference,Vision Hub,Royal Garden,482,336,118,41485,21052,20433
194,2025-01-15,Event 194,Giza,Conference,Creative Minds,Downtown Hub,443,401,57,25611,10065,15546
195,2025-08-30,Event 195,Mansoura,Workshop,Creative Minds,Expo Arena,559,253,40,10931,5104,5827
196,2025-03-18,Event 196,Aswan,Corporate,Elite Planners,Royal Garden,533,295,93,31828,15353,16475
197,2025-01-25,Event 197,Alexandria,Exhibition,Creative Minds,Royal Garden,568,287,48,22465,13094,9371
198,2025-01-09,Event 198,Mansoura,Festival,Elite Planners,Nile Ballroom,835,448,94,49644,18891,30753
199,2025-06-30,Event 199,Alexandria,Festival,Vision Hub,Nile Ballroom,780,693,41,37489,26669,10820
200,2025-02-04,Event 200,Aswan,Festival,Elite Planners,Royal Garden,667,310,119,45092,17802,27290
201,2025-07-18,Event 201,Giza,Wedding,Creative Minds,Grand Hall,465,243,108,30694,19312,11382
202,2025-11-18,Event 202,Cairo,Festival,Creative Minds,Sky Center,236,117,110,22315,11048,11267
203,2025-11-26,Event 203,Alexandria,Corporate,Vision Hub,Downtown Hub,590,588,66,41517,16667,24850
204,2025-08-23,Event 204,Cairo,Wedding,Skyline Group,Grand Hall,304,146,100,20180,11204,8976
205,2025-10-06,Event 205,Luxor,Wedding,Nile Events,Downtown Hub,295,205,111,24038,16210,7828
206,2025-06-19,Event 206,Giza,Conference,Prime Events,Expo Arena,509,454,118,59626,42398,17228
207,2025-09-12,Event 207,Mansoura,Exhibition,Prime Events,Royal Garden,373,372,41,22707,9238,13469
208,2025-11-05,Event 208,Alexandria,Festival,Prime Events,Sky Center,205,102,103,21834,10491,11343
209,2025-08-17,Event 209,Aswan,Corporate,Vision Hub,Nile Ballroom,806,589,109,72026,28407,43619
210,2025-06-30,Event 210,Aswan,Exhibition,Prime Events,Downtown Hub,158,80,123,16292,9033,7259
211,2025-12-14,Event 211,Alexandria,Conference,Skyline Group,Royal Garden,794,757,132,100994,42712,58282
212,2025-05-01,Event 212,Mansoura,Wedding,Prime Events,Expo Arena,680,322,174,59041,36067,22974
213,2025-07-09,Event 213,Giza,Exhibition,Nile Events,Royal Garden,240,201,121,29971,18008,11963
214,2025-05-08,Event 214,Cairo,Conference,Creative Minds,Nile Ballroom,611,539,119,73843,31016,42827
215,2025-05-14,Event 215,Mansoura,Exhibition,Skyline Group,Royal Garden,392,353,145,54964,23178,31786
216,2025-02-07,Event 216,Luxor,Workshop,Creative Minds,Expo Arena,189,188,101,30429,15157,15272
217,2025-02-03,Event 217,Aswan,Festival,Prime Events,Sky Center,261,161,112,26867,12257,14610
218,2025-04-13,Event 218,Alexandria,Workshop,Vision Hub,Grand Hall,469,399,139,64999,27567,37432
219,2025-02-14,Event 219,Cairo,Wedding,Vision Hub,Downtown Hub,836,621,154,102864,65988,36876
220,2025-10-22,Event 220,Cairo,Workshop,Prime Events,Downtown Hub,175,135,139,30407,16903,13504
221,2025-03-07,Event 221,Aswan,Corporate,Elite Planners,Nile Ballroom,886,464,130,69058,47625,21433
222,2025-01-29,Event 222,Cairo,Festival,Skyline Group,Sky Center,268,161,102,20616,10259,10357
223,2025-09-23,Event 223,Giza,Conference,Prime Events,Nile Ballroom,750,619,90,58260,34519,23741
224,2025-11-11,Event 224,Aswan,Conference,Elite Planners,Downtown Hub,272,270,59,19234,11616,7618
225,2025-11-06,Event 225,Giza,Festival,Nile Events,Grand Hall,183,87,167,19365,11645,7720
226,2025-10-20,Event 226,Luxor,Festival,Creative Minds,Grand Hall,609,595,159,99850,59735,40115
227,2025-06-04,Event 227,Luxor,Workshop,Creative Minds,Expo Arena,404,297,38,23068,9235,13833
228,2025-08-14,Event 228,Luxor,Exhibition,Vision Hub,Nile Ballroom,448,356,56,25557,17197,8360
229,2025-06-13,Event 229,Mansoura,Wedding,Vision Hub,Nile Ballroom,878,584,151,97886,40730,57156
230,2025-05-04,Event 230,Luxor,Conference,Prime Events,Expo Arena,353,194,44,9865,4722,5143
231,2025-07-16,Event 231,Aswan,Exhibition,Skyline Group,Nile Ballroom,435,434,167,78101,34719,43382
232,2025-03-23,Event 232,Luxor,Festival,Vision Hub,Expo Arena,415,313,25,9800,6873,2927
233,2025-09-16,Event 233,Luxor,Workshop,Skyline Group,Royal Garden,461,219,32,12117,6643,5474
234,2025-12-01,Event 234,Mansoura,Exhibition,Prime Events,Royal Garden,108,102,47,12354,5257,7097
235,2025-05-16,Event 235,Mansoura,Wedding,Vision Hub,Sky Center,146,116,33,13671,7806,5865
236,2025-07-05,Event 236,Aswan,Wedding,Nile Events,Expo Arena,616,507,160,86202,56945,29257
237,2025-11-16,Event 237,Mansoura,Festival,Nile Events,Nile Ballroom,199,139,115,22040,12555,9485
238,2025-07-07,Event 238,Alexandria,Workshop,Elite Planners,Royal Garden,511,485,30,15792,6209,9583
239,2025-06-20,Event 239,Luxor,Festival,Vision Hub,Nile Ballroom,720,587,55,38158,26583,11575
240,2025-06-13,Event 240,Alexandria,Exhibition,Elite Planners,Downtown Hub,406,333,106,44109,29183,14926
241,2025-09-30,Event 241,Luxor,Corporate,Elite Planners,Sky Center,586,271,114,36821,22427,14394
242,2025-08-02,Event 242,Aswan,Wedding,Creative Minds,Downtown Hub,744,347,172,67959,31959,36000
243,2025-12-02,Event 243,Aswan,Festival,Skyline Group,Downtown Hub,152,142,142,23457,13094,10363
244,2025-11-14,Event 244,Luxor,Workshop,Creative Minds,Nile Ballroom,132,132,48,9961,3849,6112
245,2025-06-10,Event 245,Luxor,Workshop,Vision Hub,Downtown Hub,308,243,148,46482,32210,14272
246,2025-02-01,Event 246,Mansoura,Workshop,Elite Planners,Nile Ballroom,674,469,142,75707,38468,37239
247,2025-03-30,Event 247,Luxor,Festival,Prime Events,Royal Garden,462,342,176,68624,30563,38061
248,2025-05-07,Event 248,Giza,Festival,Prime Events,Nile Ballroom,404,378,93,39050,24003,15047
249,2025-09-08,Event 249,Giza,Exhibition,Prime Events,Royal Garden,838,517,93,50577,29080,21497
250,2025-10-06,Event 250,Luxor,Exhibition,Prime Events,Nile Ballroom,397,188,93,19278,9595,9683
251,2025-08-15,Event 251,Mansoura,Wedding,Creative Minds,Expo Arena,319,194,157,35400,24681,10719
252,2025-12-23,Event 252,Giza,Workshop,Nile Events,Royal Garden,858,686,81,60038,23850,36188
253,2025-09-29,Event 253,Alexandria,Corporate,Skyline Group,Grand Hall,202,142,104,23007,9529,13478
254,2025-03-12,Event 254,Cairo,Festival,Skyline Group,Expo Arena,768,588,142,94654,42387,52267
255,2025-05-28,Event 255,Giza,Wedding,Creative Minds,Grand Hall,887,444,166,78008,43836,34172
256,2025-01-20,Event 256,Alexandria,Exhibition,Skyline Group,Grand Hall,506,480,67,37402,25362,12040
257,2025-01-05,Event 257,Giza,Festival,Elite Planners,Grand Hall,443,271,136,47863,27029,20834
258,2025-09-10,Event 258,Alexandria,Festival,Vision Hub,Sky Center,297,161,104,19906,12512,7394
259,2025-11-28,Event 259,Giza,Corporate,Skyline Group,Grand Hall,854,556,95,62622,38155,24467
260,2025-04-09,Event 260,Alexandria,Festival,Creative Minds,Expo Arena,537,504,103,53833,27793,26040
261,2025-02-18,Event 261,Alexandria,Workshop,Vision Hub,Sky Center,354,160,86,20544,9451,11093
